reference_number,reading_date,vendor,outdoor_temp_c,flow_temp_c,return_temp_c,dhw_actual_c,electrical_energy_kwh,thermal_energy_kwh,compressor_starts,defrost_cycles,error_code_raw,status_raw
 TH-02101,2026-06-18,A,18.4,33.0,26.1,51.2,1.41,5.0,9,0,,ok
 TH-02127,2026-06-18,A,18.4,31.6,24.3,48.5,1.19,4.9,4,0,,ok
 TH-02138,2026-06-18,A,18.4,31.5,24.6,51.0,0.96,3.2,5,0,,OK
 TH-02140,2026-06-18,A,18.4,30.7,24.9,46.7,1.05,3.9,3,0,,OK
 TH-02158,2026-06-18,B,18.4,,,,7042.0,,3,0,,0
 TH-02171,2026-06-18,B,18.4,,,,14048.8,,11,0,,0
 TH-02178,2026-06-18,B,18.4,,,,19474.7,,9,0,,0
 TH-02195,2026-06-18,B,18.4,,,,14809.1,,12,0,,0
 TH-02230,2026-06-18,B,18.4,,,,25597.6,,10,0,6021,0
 TH-02257,2026-06-18,B,18.4,,,,21249.4,,10,0,,0
 TH-02269,2026-06-18,B,18.4,,,,12370.6,,5,0,,0
 TH-02279,2026-06-18,B,18.4,,,,21062.3,,9,0,6021,0
 TH-02281,2026-06-18,B,18.4,,,,4231.3,,6,0,6021,0
 TH-02285,2026-06-18,B,18.4,,,,12796.5,,11,0,6021,0
 TH-02287,2026-06-18,B,18.4,,,,17997.1,,7,0,,0
TH-02001,2026-06-18,A,18.4,33.0,26.9,46.6,1.25,4.5,5,0,,OK
TH-02002,2026-06-18,A,18.4,30.6,23.9,47.6,1.2,3.8,7,0,,OK
TH-02004,2026-06-18,A,18.4,31.1,24.7,53.0,1.48,5.8,11,0,,OK
TH-02005,2026-06-18,A,18.4,31.4,26.2,50.5,1.33,4.9,7,0,,ok
TH-02006,2026-06-18,A,18.4,30.8,24.8,50.3,0.74,3.0,13,0,,OK
TH-02007,2026-06-18,A,18.4,31.8,26.2,46.8,1.08,4.2,11,0,E-317,OK
TH-02008,2026-06-18,A,18.4,31.1,23.8,49.1,1.12,4.1,10,0,,OK
TH-02009,2026-06-18,A,18.4,32.2,26.4,50.6,1.45,4.9,10,0,E-211,OK
TH-02011,2026-06-18,A,18.4,30.6,24.4,51.7,1.86,7.2,2,0,,OK
TH-02012,2026-06-18,A,18.4,32.5,27.0,0,1.83,6.3,10,0,,ok
TH-02015,2026-06-18,A,18.4,31.3,26.6,48.9,1.43,4.9,6,0,,ok
TH-02016,2026-06-18,A,18.4,31.4,23.9,51.7,1.39,4.5,11,0,,ok
TH-02017,2026-06-18,A,18.4,32.6,27.5,46.1,1.53,6.0,7,0,,ok
TH-02019,2026-06-18,A,18.4,31.2,26.3,50.5,0.95,3.6,8,0,,OK
TH-02020,2026-06-18,A,18.4,31.9,25.3,49.3,2.12,7.0,10,0,,ok
TH-02023,2026-06-18,A,18.4,32.6,25.5,48.2,1.71,5.7,9,0,,ok
TH-02025,2026-06-18,A,18.4,32.2,26.7,50.8,2.07,6.8,8,0,,ok
TH-02028,2026-06-18,A,18.4,32.8,28.0,52.3,1.28,5.0,8,0,,OK
TH-02030,2026-06-18,A,18.4,31.4,24.9,47.8,1.59,6.0,12,0,,ok
TH-02032,2026-06-18,A,18.4,31.4,25.3,52.3,1.44,4.5,6,0,,OK
TH-02033,2026-06-18,A,18.4,-999,26.3,48.3,1.73,5.5,10,0,,OK
TH-02035,2026-06-18,A,18.4,33.2,28.5,51.5,2.24,7.4,12,0,,OK
TH-02037,2026-06-18,A,18.4,32.8,28.1,50.3,1.02,4.1,11,0,,OK
TH-02038,2026-06-18,A,18.4,33.2,26.2,49.8,1.51,5.3,11,0,,OK
TH-02040,2026-06-18,A,18.4,31.9,26.9,52.4,1.16,3.8,8,0,,OK
TH-02044,2026-06-18,A,18.4,30.6,24.7,47.0,1.03,3.3,7,0,,OK
TH-02045,2026-06-18,A,18.4,32.8,28.3,52.5,1.57,5.0,10,0,,OK
TH-02046,2026-06-18,A,18.4,32.4,27.5,47.1,1.1,3.6,7,0,,OK
TH-02047,2026-06-18,A,18.4,30.9,24.7,52.6,1.03,3.5,3,0,,ok
TH-02048,2026-06-18,A,18.4,32.4,25.9,52.9,1.3,4.9,9,0,,ok
TH-02049,2026-06-18,A,18.4,33.3,28.4,47.2,1.42,6.1,7,0,,OK
TH-02050,2026-06-18,A,18.4,31.1,25.0,50.6,1.55,6.5,10,0,,OK
TH-02051,2026-06-18,A,18.4,30.8,25.0,46.3,1.1,3.5,6,0,,OK
TH-02052,2026-06-18,A,18.4,32.2,26.5,51.9,2.03,6.6,4,0,,ok
TH-02053,2026-06-18,A,18.4,32.5,25.2,50.4,1.3,5.4,10,0,,OK
TH-02054,2026-06-18,A,18.4,32.3,25.2,50.8,1.77,6.6,9,0,,ok
TH-02055,2026-06-18,A,18.4,32.1,27.1,52.8,1.79,6.9,7,0,,OK
TH-02056,2026-06-18,A,18.4,32.5,27.1,50.8,1.79,6.5,8,0,,OK
TH-02061,2026-06-18,A,18.4,33.4,26.1,52.9,1.63,5.1,6,0,,OK
TH-02063,2026-06-18,A,18.4,33.3,26.1,52.6,1.89,7.0,5,0,,OK
TH-02068,2026-06-18,A,18.4,32.4,26.1,50.5,1.73,6.5,13,0,,ok
TH-02072,2026-06-18,A,18.4,32.8,25.9,51.0,1.23,4.2,8,0,,ok
TH-02073,2026-06-18,A,18.4,31.3,26.6,52.6,1.79,5.7,8,0,,OK
TH-02074,2026-06-18,A,18.4,31.2,26.0,51.8,1.82,6.5,13,0,,OK
TH-02077,2026-06-18,A,18.4,31.1,26.2,48.5,1.27,5.5,8,0,,ok
TH-02078,2026-06-18,A,18.4,31.2,25.4,46.6,1.57,5.3,11,0,,OK
TH-02081,2026-06-18,A,18.4,32.0,24.8,46.9,1.48,6.2,9,0,,OK
TH-02084,2026-06-18,A,18.4,31.8,24.3,52.0,1.14,4.7,8,0,,ok
TH-02086,2026-06-18,A,18.4,30.9,25.7,48.0,0.95,4.1,8,0,,OK
TH-02087,2026-06-18,A,18.4,30.6,23.2,48.6,1.55,6.3,7,0,,OK
TH-02090,2026-06-18,A,18.4,31.8,27.0,52.6,1.49,5.2,13,0,,ok
TH-02091,2026-06-18,A,18.4,33.2,26.9,51.1,1.56,6.8,11,0,,OK
TH-02093,2026-06-18,A,18.4,31.4,24.4,46.9,1.66,6.1,8,0,,OK
TH-02094,2026-06-18,A,18.4,30.7,25.9,52.9,1.32,5.5,6,0,,OK
TH-02095,2026-06-18,A,18.4,33.4,28.5,52.1,1.16,5.0,7,0,,ok
TH-02097,2026-06-18,A,18.4,33.2,26.3,49.6,1.21,5.2,8,0,,OK
TH-02098,2026-06-18,A,18.4,31.2,26.1,48.9,1.39,4.6,5,0,,OK
TH-02099,2026-06-18,A,18.4,32.5,25.3,49.5,1.41,5.2,6,0,,ok
TH-02100,2026-06-18,A,18.4,32.5,27.7,48.2,0.93,3.6,13,0,,ok
TH-02103,2026-06-18,A,18.4,33.5,27.4,48.7,1.92,7.1,8,0,,ok
TH-02109,2026-06-18,A,18.4,32.3,24.9,51.7,1.8,5.6,8,0,,ok
TH-02111,2026-06-18,A,18.4,30.6,23.9,49.1,1.08,4.7,3,0,,ok
TH-02114,2026-06-18,A,18.4,32.1,25.4,46.7,1.93,6.6,6,0,,OK
TH-02121,2026-06-18,A,18.4,32.3,25.4,51.3,1.44,5.7,5,0,E-211,warn
TH-02122,2026-06-18,A,18.4,32.8,28.1,51.3,1.5,5.6,12,0,,OK
TH-02124,2026-06-18,A,18.4,31.5,25.4,52.2,1.16,4.7,8,0,E-211,OK
TH-02126,2026-06-18,A,18.4,32.0,26.4,46.8,1.57,5.1,3,0,,OK
TH-02129,2026-06-18,A,18.4,33.0,25.7,48.3,1.54,6.7,13,0,,ok
TH-02130,2026-06-18,A,18.4,30.8,25.1,51.1,1.35,5.1,14,0,,ok
TH-02132,2026-06-18,A,18.4,32.8,27.2,49.3,1.14,4.3,10,0,,ok
TH-02133,2026-06-18,A,18.4,33.5,26.7,48.7,1.54,5.1,11,0,,OK
TH-02134,2026-06-18,A,18.4,32.6,26.3,49.5,1.67,6.6,7,0,,ok
TH-02135,2026-06-18,A,18.4,32.4,25.4,51.2,1.1,4.8,5,0,,ok
TH-02136,2026-06-18,A,18.4,33.3,27.9,48.0,2.19,7.0,9,0,,OK
TH-02137,2026-06-18,A,18.4,31.2,24.6,46.9,0.9,3.5,16,0,E-104,warn
TH-02139,2026-06-18,A,18.4,32.8,27.6,52.7,1.62,5.9,12,0,,OK
TH-02141,2026-06-18,B,18.4,,,,17145.7,,8,0,,0
TH-02143,2026-06-18,B,18.4,,,,17896.0,,7,0,6021,0
TH-02144,2026-06-18,B,18.4,,,,12916.6,,5,0,,0
TH-02145,2026-06-18,B,18.4,,,,4789.5,,4,0,,0
TH-02146,2026-06-18,B,18.4,,,,24480.9,,6,0,6021,0
TH-02148,2026-06-18,B,18.4,,,,12881.4,,10,0,6021,0
TH-02149,2026-06-18,B,18.4,,,,8052.6,,15,0,,0
TH-02152,2026-06-18,B,18.4,,,,22494.0,,12,0,,0
TH-02153,2026-06-18,B,18.4,,,,19001.5,,8,0,,0
TH-02155,2026-06-18,B,18.4,,,,4465.8,,7,0,6021,0
TH-02160,2026-06-18,B,18.4,,,,14915.8,,6,0,6021,0
TH-02161,2026-06-18,B,18.4,,,,8264.9,,7,0,,0
TH-02162,2026-06-18,B,18.4,,,,14626.5,,6,0,,0
TH-02165,2026-06-18,B,18.4,,,,15084.7,,3,0,6021,0
TH-02166,2026-06-18,B,18.4,,,,17514.2,,8,0,6021,0
TH-02168,2026-06-18,B,18.4,,,,13620.3,,6,0,6021,0
TH-02169,2026-06-18,B,18.4,31.6,25.2,,18440.8,,9,0,6021,0
TH-02170,2026-06-18,B,18.4,,,,11425.0,,9,0,6021,0
TH-02173,2026-06-18,B,18.4,,,,6931.0,,16,0,6021,0
TH-02175,2026-06-18,B,18.4,,,,12033.4,,6,0,6021,0
TH-02177,2026-06-18,B,18.4,,,,12923.9,,11,0,6021,0
TH-02181,2026-06-18,B,18.4,,,,18720.7,,14,0,,0
TH-02182,2026-06-18,B,18.4,,,,20928.0,,11,0,6021,0
TH-02184,2026-06-18,B,18.4,,,,20263.5,,6,0,6021,0
TH-02185,2026-06-18,B,18.4,,,,25200.1,,9,0,7702,2
TH-02187,2026-06-18,B,18.4,,,,13591.4,,11,0,,0
TH-02188,2026-06-18,B,18.4,,,,24461.4,,9,0,,0
TH-02189,2026-06-18,B,18.4,,,,19334.4,,12,0,,0
TH-02192,2026-06-18,B,18.4,,,,23354.0,,9,0,6021,0
TH-02194,2026-06-18,B,18.4,,,,18989.0,,9,0,,0
TH-02196,2026-06-18,B,18.4,,,,25193.8,,4,0,,0
TH-02202,2026-06-18,B,18.4,,,,13795.8,,10,0,,0
TH-02204,2026-06-18,B,18.4,,,,5155.6,,12,0,6021,0
TH-02206,2026-06-18,B,18.4,,,,17369.6,,14,0,1188,2
TH-02207,2026-06-18,B,18.4,,,,13651.5,,5,0,,0
TH-02213,2026-06-18,B,18.4,,,,9297.6,,11,0,,0
TH-02214,2026-06-18,B,18.4,,,,9103.4,,11,0,,0
TH-02216,2026-06-18,B,18.4,,,,17139.6,,8,0,,0
TH-02221,2026-06-18,B,18.4,,,,16170.9,,9,0,,0
TH-02223,2026-06-18,B,18.4,,,,22212.2,,13,0,6021,0
TH-02224,2026-06-18,B,18.4,,,,8734.0,,7,0,,0
TH-02226,2026-06-18,B,18.4,,,,9716.5,,2,0,6021,0
TH-02228,2026-06-18,B,18.4,,,,23914.0,,9,0,6021,0
TH-02231,2026-06-18,B,18.4,,,,7552.5,,11,0,,0
TH-02234,2026-06-18,B,18.4,,,,13263.1,,8,0,6021,0
TH-02235,2026-06-18,B,18.4,,,,22652.9,,2,0,,0
TH-02238,2026-06-18,B,18.4,,,,7744.4,,10,0,,0
TH-02239,2026-06-18,B,18.4,,,,17181.1,,9,0,,0
TH-02240,2026-06-18,B,18.4,,,,8022.8,,2,0,,0
TH-02242,2026-06-18,B,18.4,,,,14314.0,,13,0,,0
TH-02243,2026-06-18,B,18.4,,,,11652.7,,4,0,,0
TH-02245,2026-06-18,B,18.4,,,,14902.9,,8,0,,0
TH-02247,2026-06-18,B,18.4,,,,5452.5,,2,0,6021,0
TH-02248,2026-06-18,B,18.4,,,,23256.9,,9,0,,0
TH-02249,2026-06-18,B,18.4,,,,6869.3,,6,0,,0
TH-02250,2026-06-18,B,18.4,,,,11156.1,,6,0,6021,0
TH-02251,2026-06-18,B,18.4,,,,24425.5,,8,0,,0
TH-02255,2026-06-18,B,18.4,31.4,25.1,,12901.6,,8,0,,0
TH-02258,2026-06-18,B,18.4,,,,10326.2,,7,0,6021,0
TH-02259,2026-06-18,B,18.4,,,,12262.4,,8,0,,0
TH-02260,2026-06-18,B,18.4,,,,7310.3,,7,0,6021,0
TH-02262,2026-06-18,B,18.4,,,,9153.9,,5,0,,0
TH-02265,2026-06-18,B,18.4,,,,22563.3,,12,0,,0
TH-02266,2026-06-18,B,18.4,,,,16084.9,,17,0,,0
TH-02267,2026-06-18,B,18.4,,,,11510.3,,10,0,6021,0
TH-02268,2026-06-18,B,18.4,,,,23795.4,,10,0,3104,2
TH-02270,2026-06-18,B,18.4,30.8,25.0,,21908.5,,13,0,6021,0
TH-02271,2026-06-18,B,18.4,,,,4916.5,,10,0,,0
TH-02272,2026-06-18,B,18.4,,,,24824.1,,7,0,,0
TH-02273,2026-06-18,B,18.4,,,,19779.4,,12,0,6021,0
TH-02275,2026-06-18,B,18.4,,,,12315.3,,11,0,,0
TH-02277,2026-06-18,B,18.4,,,,17854.2,,2,0,6021,0
TH-02278,2026-06-18,B,18.4,,,,14792.5,,10,0,,0
TH-02280,2026-06-18,B,18.4,,,,17689.4,,13,0,6021,0
TH-02283,2026-06-18,B,18.4,,,,21320.1,,10,0,6021,0
TH-02286,2026-06-18,B,18.4,,,,7548.8,,6,0,,0
TH-02288,2026-06-18,B,18.4,,,,5408.6,,10,0,,0
TH-02290,2026-06-18,B,18.4,,,,7287.1,,8,0,,0
th-02021,2026-06-18,A,18.4,32.6,27.4,49.7,0.68,3.0,3,0,,ok
th-02062,2026-06-18,A,18.4,30.7,26.2,52.7,1.57,5.3,11,0,,ok
th-02071,2026-06-18,A,18.4,33.3,26.5,48.0,1.91,7.3,9,0,,OK
th-02075,2026-06-18,A,18.4,31.0,24.3,50.4,1.1,4.0,8,0,,ok
th-02080,2026-06-18,A,18.4,31.1,24.7,52.5,1.86,7.4,10,0,,ok
th-02085,2026-06-18,A,18.4,30.9,24.5,46.8,1.7,5.6,7,0,,ok
th-02112,2026-06-18,A,18.4,32.8,27.8,52.1,1.09,4.0,3,0,,ok
th-02113,2026-06-18,A,18.4,32.0,26.0,46.6,1.56,6.0,11,0,,ok
th-02118,2026-06-18,A,18.4,33.0,28.1,50.7,0.91,3.1,13,0,,OK
th-02120,2026-06-18,A,18.4,31.7,26.5,49.6,1.07,4.1,9,0,,ok
th-02159,2026-06-18,B,18.4,,,,12047.1,,7,0,6021,0
th-02176,2026-06-18,B,18.4,,,,5394.2,,11,0,6021,0
th-02180,2026-06-18,B,18.4,,,,11581.1,,7,0,,0
th-02190,2026-06-18,B,18.4,,,,24650.9,,8,0,,0
th-02215,2026-06-18,B,18.4,,,,18228.8,,11,0,,0
th-02236,2026-06-18,B,18.4,,,,4210.5,,6,0,,0
 TH-02021,2026-06-19,A,19.2,30.9,26.2,49.1,1.03,4.4,10,0,,OK
 TH-02076,2026-06-19,A,19.2,30.6,23.7,47.0,1.18,4.2,13,0,,ok
 TH-02078,2026-06-19,A,19.2,33.2,28.4,49.6,2.07,6.5,8,0,,ok
 TH-02085,2026-06-19,A,19.2,32.3,25.1,47.0,0.85,3.3,9,0,,OK
 TH-02093,2026-06-19,A,19.2,-999,25.4,52.8,1.2,3.9,11,0,,ok
 TH-02133,2026-06-19,A,19.2,32.0,26.9,48.6,1.4,4.6,8,0,,OK
 TH-02145,2026-06-19,B,19.2,,,,4790.9,,11,0,,0
 TH-02149,2026-06-19,B,19.2,,,,8054.5,,8,0,,0
 TH-02171,2026-06-19,B,19.2,,,,14049.6,,15,0,,0
 TH-02177,2026-06-19,B,19.2,,,,12924.7,,8,0,6021,0
 TH-02182,2026-06-19,B,19.2,,,,20929.6,,14,0,6021,0
 TH-02202,2026-06-19,B,19.2,,,,13797.8,,6,0,,0
 TH-02206,2026-06-19,B,19.2,,,,17371.3,,8,0,6021,0
 TH-02215,2026-06-19,B,19.2,,,,18229.8,,9,0,,0
 TH-02221,2026-06-19,B,19.2,,,,16171.8,,9,0,,0
 TH-02266,2026-06-19,B,19.2,,,,16086.2,,7,0,,0
 TH-02268,2026-06-19,B,19.2,,,,23796.4,,12,0,,0
TH-02001,2026-06-19,A,19.2,32.0,26.4,46.6,1.23,4.8,10,0,,ok
TH-02002,2026-06-19,A,19.2,32.6,26.4,52.3,1.58,6.8,10,0,,ok
TH-02004,2026-06-19,A,19.2,32.3,25.0,51.9,0.76,3.3,10,0,,ok
TH-02005,2026-06-19,A,19.2,32.1,27.4,51.3,1.95,6.9,3,0,,ok
TH-02006,2026-06-19,A,19.2,32.1,24.9,50.9,0.9,3.3,8,0,,OK
TH-02007,2026-06-19,A,19.2,32.5,27.5,49.4,1.98,6.3,5,0,,OK
TH-02008,2026-06-19,A,19.2,31.1,24.8,47.7,1.83,7.3,4,0,,ok
TH-02009,2026-06-19,A,19.2,31.0,24.2,51.1,1.43,5.1,10,0,,ok
TH-02011,2026-06-19,A,19.2,31.1,24.7,51.7,1.17,4.2,11,0,,OK
TH-02012,2026-06-19,A,19.2,32.2,26.6,51.4,1.1,3.8,10,0,,OK
TH-02015,2026-06-19,A,19.2,30.8,24.9,51.2,1.58,6.1,9,0,,ok
TH-02016,2026-06-19,A,19.2,31.4,25.6,48.3,1.21,4.2,5,0,,ok
TH-02017,2026-06-19,A,19.2,31.7,24.7,46.9,0.76,3.1,9,0,,ok
TH-02020,2026-06-19,A,19.2,31.3,26.6,50.0,1.7,6.9,11,0,,ok
TH-02023,2026-06-19,A,19.2,32.4,25.2,48.8,1.06,4.6,10,0,,OK
TH-02025,2026-06-19,A,19.2,33.0,26.6,47.7,1.52,4.8,13,0,,OK
TH-02028,2026-06-19,A,19.2,31.0,23.9,46.6,1.36,4.8,4,0,,OK
TH-02030,2026-06-19,A,19.2,32.4,26.6,47.7,1.09,4.5,4,0,,ok
TH-02031,2026-06-19,A,19.2,30.8,23.5,47.3,1.58,5.3,7,0,,ok
TH-02032,2026-06-19,A,19.2,32.6,26.3,49.8,1.94,6.1,4,0,,ok
TH-02033,2026-06-19,A,19.2,32.1,24.8,52.4,1.64,6.5,2,0,,ok
TH-02034,2026-06-19,A,19.2,-999,25.1,48.2,1.31,4.8,13,0,,OK
TH-02035,2026-06-19,A,19.2,32.7,27.7,49.8,1.74,6.8,9,0,,OK
TH-02036,2026-06-19,A,19.2,31.3,26.5,52.1,0.95,3.9,10,0,,ok
TH-02037,2026-06-19,A,19.2,30.8,25.8,48.1,1.19,4.9,8,0,,ok
TH-02044,2026-06-19,A,19.2,32.3,25.1,50.5,0.94,3.2,12,0,,OK
TH-02045,2026-06-19,A,19.2,30.5,25.8,46.1,2.17,6.9,10,0,,OK
TH-02047,2026-06-19,A,19.2,33.0,28.4,51.1,1.13,4.8,9,0,,ok
TH-02048,2026-06-19,A,19.2,32.5,25.8,47.7,1.7,5.8,11,0,,OK
TH-02049,2026-06-19,A,19.2,31.2,26.6,49.2,1.88,6.9,9,0,,ok
TH-02050,2026-06-19,A,19.2,32.2,27.2,48.5,1.71,6.8,7,0,,OK
TH-02051,2026-06-19,A,19.2,31.4,24.0,50.9,1.04,3.4,4,0,,OK
TH-02052,2026-06-19,A,19.2,30.9,25.9,48.3,1.54,5.8,9,0,,OK
TH-02053,2026-06-19,A,19.2,32.1,27.0,47.6,0.77,3.3,9,0,,OK
TH-02054,2026-06-19,A,19.2,32.9,27.8,50.1,1.24,4.9,14,0,,ok
TH-02055,2026-06-19,A,19.2,32.9,25.6,51.0,1.13,4.8,7,0,,OK
TH-02056,2026-06-19,A,19.2,32.2,25.3,50.6,1.65,5.9,9,0,,OK
TH-02061,2026-06-19,A,19.2,32.5,25.5,48.4,1.81,7.0,4,0,,OK
TH-02062,2026-06-19,A,19.2,33.3,27.7,47.1,1.79,6.9,6,0,,ok
TH-02063,2026-06-19,A,19.2,30.7,23.2,48.8,0.81,3.4,9,0,,OK
TH-02065,2026-06-19,A,19.2,33.4,26.4,53.0,1.26,4.0,10,0,,OK
TH-02068,2026-06-19,A,19.2,33.2,28.1,51.3,1.6,6.1,11,0,,ok
TH-02071,2026-06-19,A,19.2,33.1,26.2,46.2,1.84,5.9,16,0,,ok
TH-02072,2026-06-19,A,19.2,33.0,25.7,52.8,1.19,5.2,6,0,,OK
TH-02073,2026-06-19,A,19.2,32.1,25.0,48.4,1.16,3.7,6,0,,OK
TH-02074,2026-06-19,A,19.2,31.7,25.2,48.7,1.3,5.1,6,0,,ok
TH-02075,2026-06-19,A,19.2,31.7,24.5,51.7,1.26,4.0,6,0,,ok
TH-02077,2026-06-19,A,19.2,31.8,26.2,53.0,1.5,6.4,7,0,,ok
TH-02080,2026-06-19,A,19.2,31.5,26.1,52.0,1.12,4.0,13,0,,OK
TH-02081,2026-06-19,A,19.2,30.8,24.2,52.1,0.87,3.3,7,0,,OK
TH-02083,2026-06-19,A,19.2,33.4,26.5,47.3,1.56,6.7,11,0,,ok
TH-02084,2026-06-19,A,19.2,30.9,24.1,51.1,0.83,3.6,8,0,,ok
TH-02086,2026-06-19,A,19.2,31.6,24.4,50.4,1.27,4.9,5,0,,ok
TH-02087,2026-06-19,A,19.2,32.1,25.2,50.8,2.17,7.1,11,0,E-317,OK
TH-02090,2026-06-19,A,19.2,33.2,27.2,48.8,1.79,7.1,10,0,,OK
TH-02091,2026-06-19,A,19.2,33.4,26.9,47.7,1.35,5.8,9,0,,OK
TH-02094,2026-06-19,A,19.2,33.0,27.5,47.1,1.6,6.6,8,0,,OK
TH-02095,2026-06-19,A,19.2,31.4,24.4,48.4,1.25,4.9,12,0,,ok
TH-02097,2026-06-19,A,19.2,30.7,23.4,51.3,1.58,6.8,12,0,,ok
TH-02098,2026-06-19,A,19.2,31.2,25.3,49.7,1.03,3.3,7,0,,OK
TH-02099,2026-06-19,A,19.2,32.3,25.3,50.8,1.35,4.6,3,0,,ok
TH-02100,2026-06-19,A,19.2,32.1,27.1,49.8,1.27,5.4,10,0,,OK
TH-02103,2026-06-19,A,19.2,32.2,26.4,52.4,1.76,6.7,8,0,E-505,warn
TH-02109,2026-06-19,A,19.2,31.2,26.4,51.7,1.87,6.4,5,0,,OK
TH-02111,2026-06-19,A,19.2,32.3,27.6,46.9,1.31,4.2,4,0,,OK
TH-02112,2026-06-19,A,19.2,32.4,27.8,48.5,1.86,7.3,4,0,,OK
TH-02113,2026-06-19,A,19.2,33.1,25.8,46.1,1.66,7.2,14,0,,ok
TH-02114,2026-06-19,A,19.2,31.7,27.2,50.4,0.95,3.2,9,0,,ok
TH-02118,2026-06-19,A,19.2,31.3,25.5,47.0,0.83,3.5,10,0,,ok
TH-02120,2026-06-19,A,19.2,32.7,26.8,51.1,1.85,6.5,6,0,,OK
TH-02121,2026-06-19,A,19.2,30.7,26.1,46.9,1.0,4.3,3,0,,OK
TH-02122,2026-06-19,A,19.2,31.5,26.8,50.8,1.44,6.1,9,0,,ok
TH-02124,2026-06-19,A,19.2,30.6,24.6,52.0,1.4,5.3,9,0,,ok
TH-02126,2026-06-19,A,19.2,32.9,27.9,48.7,0.95,3.4,7,0,,OK
TH-02127,2026-06-19,A,19.2,31.0,23.9,50.6,1.48,5.2,4,0,,ok
TH-02129,2026-06-19,A,19.2,30.7,23.3,52.6,0.79,3.3,8,0,,OK
TH-02130,2026-06-19,A,19.2,30.8,25.9,47.2,1.73,6.2,8,0,,ok
TH-02132,2026-06-19,A,19.2,30.7,24.6,46.1,1.65,6.8,8,0,,OK
TH-02134,2026-06-19,A,19.2,33.5,27.5,48.6,1.41,5.8,10,0,,OK
TH-02135,2026-06-19,A,19.2,33.1,27.1,0,1.03,3.7,8,0,,ok
TH-02136,2026-06-19,A,19.2,32.3,26.8,49.2,1.33,5.8,11,0,,ok
TH-02137,2026-06-19,A,19.2,33.0,28.1,51.5,1.68,5.9,10,0,,OK
TH-02138,2026-06-19,A,19.2,32.2,25.2,46.5,1.59,5.8,6,0,,ok
TH-02139,2026-06-19,A,19.2,32.0,25.2,48.1,1.54,6.3,10,0,,ok
TH-02140,2026-06-19,A,19.2,-999,23.6,52.6,1.69,6.3,6,0,E-104,warn
TH-02141,2026-06-19,B,19.2,,,,17147.2,,5,0,6021,0
TH-02143,2026-06-19,B,19.2,,,,17897.7,,12,0,6021,0
TH-02144,2026-06-19,B,19.2,,,,12918.4,,11,0,,0
TH-02148,2026-06-19,B,19.2,,,,12882.8,,10,0,,0
TH-02152,2026-06-19,B,19.2,,,,22495.9,,10,0,6021,0
TH-02155,2026-06-19,B,19.2,,,,4467.8,,4,0,6021,0
TH-02158,2026-06-19,B,19.2,,,,7043.8,,6,0,6021,0
TH-02159,2026-06-19,B,19.2,,,,12048.1,,7,0,6021,0
TH-02160,2026-06-19,B,19.2,,,,14916.9,,9,0,6021,0
TH-02161,2026-06-19,B,19.2,,,,8266.4,,11,0,,0
TH-02162,2026-06-19,B,19.2,,,,14628.4,,8,0,,0
TH-02166,2026-06-19,B,19.2,,,,17515.9,,9,0,3104,2
TH-02168,2026-06-19,B,19.2,,,,13621.5,,7,0,6021,0
TH-02169,2026-06-19,B,19.2,,,,18441.9,,10,0,,0
TH-02170,2026-06-19,B,19.2,,,,11426.5,,11,0,,0
TH-02173,2026-06-19,B,19.2,,,,6932.7,,7,0,,0
TH-02175,2026-06-19,B,19.2,,,,12034.8,,6,0,6021,0
TH-02176,2026-06-19,B,19.2,,,,5395.3,,9,0,,0
TH-02178,2026-06-19,B,19.2,,,,19476.1,,11,0,,0
TH-02180,2026-06-19,B,19.2,,,,11582.9,,9,0,6021,0
TH-02181,2026-06-19,B,19.2,,,,18722.0,,11,0,,0
TH-02184,2026-06-19,B,19.2,,,,20264.9,,9,0,,0
TH-02185,2026-06-19,B,19.2,,,,25201.5,,11,0,6021,0
TH-02187,2026-06-19,B,19.2,,,,13593.6,,7,0,6021,0
TH-02188,2026-06-19,B,19.2,,,,24462.9,,7,0,6021,0
TH-02189,2026-06-19,B,19.2,,,,19335.5,,4,0,,0
TH-02190,2026-06-19,B,19.2,,,,24651.7,,7,0,6021,0
TH-02192,2026-06-19,B,19.2,,,,23355.8,,9,0,6021,0
TH-02194,2026-06-19,B,19.2,,,,18990.6,,12,0,,0
TH-02195,2026-06-19,B,19.2,,,,14809.9,,8,0,,0
TH-02196,2026-06-19,B,19.2,,,,25194.6,,13,0,,0
TH-02207,2026-06-19,B,19.2,31.1,24.0,,13653.5,,3,0,,0
TH-02214,2026-06-19,B,19.2,,,,9104.3,,2,0,6021,0
TH-02216,2026-06-19,B,19.2,,,,17141.0,,3,0,6021,0
TH-02223,2026-06-19,B,19.2,,,,22213.7,,8,0,7702,2
TH-02224,2026-06-19,B,19.2,,,,8735.2,,8,0,,0
TH-02226,2026-06-19,B,19.2,,,,9718.1,,11,0,6021,0
TH-02228,2026-06-19,B,19.2,,,,23915.4,,4,0,,0
TH-02230,2026-06-19,B,19.2,,,,25599.5,,9,0,6021,0
TH-02231,2026-06-19,B,19.2,,,,7553.5,,8,0,6021,0
TH-02234,2026-06-19,B,19.2,,,,13264.6,,16,0,7702,2
TH-02235,2026-06-19,B,19.2,,,,22654.2,,7,0,,0
